编号,开始答题时间,结束答题时间,答题时长,1.您的年龄是？岁,2.您的性别是？,3.您的职业/从属行业是？,4.您的专业是？,5.在日常社交场合中，您更倾向于哪种状态？,6.候选人1:能力感,6.候选人1:亲和力,6.候选人1:您直觉他的月薪/社会地位高吗？,7.候选人2:能力感,7.候选人2:亲和力,7.候选人2:您直觉他的月薪/社会地位高吗？,8.候选人3:能力感,8.候选人3:亲和力,8.候选人3:您直觉他的月薪/社会地位高吗？,9.候选人4:能力感,9.候选人4:亲和力,9.候选人4:您直觉他的月薪/社会地位高吗？,10.仅凭形象，您认为这四位候选人中，谁最有可能在当前职场环境中获得最高的入职起薪？,11.岗位一：需要严谨合规、处理复杂流程的【运营主管】,12.需要突破常规、寻找新增长点的【创意总监】,13.假设您是该公司的 CEO，手里只有一个 Offer，且只能见一面就做决定，您会优先面见哪一位？,14.您的选择主要是因为对方表现出了：,15.我承认，在资源有限的情况下，我会优先选择看起来更‘像成功人士’的人合作。,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:自律性（能否管理好自己的身材和形象）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:经济实力（是否有足够的资源进行形象维护）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:审美力（是否具备良好的品味和眼界）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:尊重感（是否重视社交场合和对方）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:逻辑感（着装是否符合身份与场合逻辑）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:不认为外貌能反映任何内在特质,17.在第二页的问卷中，您觉得自己是否受到了候选人外貌风格的影响？,18.我认为一个外表邋遢的人，很难拥有高质量的社交关系。,19.在陌生社交场合（如朋友聚会），你决定是否去认识一个人的主要依据是？,20.在社交/职场中，你认为以下特质的重要性排序是？:专业能力,20.在社交/职场中，你认为以下特质的重要性排序是？:外貌形象,20.在社交/职场中，你认为以下特质的重要性排序是？:性格脾气,20.在社交/职场中，你认为以下特质的重要性排序是？:学历背景
27,10-Mar-2026 23:16:27,10-Mar-2026 23:17:21,54,C.18-24,A.男性,A.未就业学生,A.理学/工学类,0,E.5,E.5,E.5,E.5,E.5,E.5,A.1,A.1,A.1,A.1,A.1,A.1,B.候选人2,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),A.极强的自律感,10,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,F.不认为外貌能反映任何内在特质,9,8,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,2,1,4,3
26,10-Mar-2026 23:08:35,10-Mar-2026 23:11:52,197,C.18-24,A.男性,A.未就业学生,A.理学/工学类,10,A.1,A.1,A.1,D.4,A.1,D.4,C.3,D.4,B.2,B.2,C.3,A.1,B.候选人2,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),C.踏实务实的气质,8,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,9,8,C.对方的表情（笑容、眼神）是否看起来好接近,1,4,3,2
25,10-Mar-2026 23:00:45,10-Mar-2026 23:03:13,148,D.24-30,B.女性,D.金融/法律/咨询,,3,C.3,C.3,C.3,C.3,D.4,C.3,B.2,B.2,B.2,B.2,B.2,B.2,B.候选人2,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.踏实务实的气质,7,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,6,7,C.对方的表情（笑容、眼神）是否看起来好接近,2,3,1,4
24,10-Mar-2026 22:18:44,10-Mar-2026 22:24:12,328,C.18-24,A.男性,I.传统制造/医疗/基础建设,,3,E.5,B.2,C.3,E.5,A.1,D.4,B.2,B.2,B.2,B.2,A.1,A.1,B.候选人2,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),C.踏实务实的气质,10,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,10,10,C.对方的表情（笑容、眼神）是否看起来好接近,2,4,3,1
23,10-Mar-2026 22:14:00,10-Mar-2026 22:16:04,124,B.12-18,A.男性,A.未就业学生,G.其他,5,B.2,E.5,B.2,C.3,B.2,D.4,C.3,C.3,C.3,E.5,B.2,E.5,D.候选人4,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,6,A.自律性（能否管理好自己的身材和形象）,,,D.尊重感（是否重视社交场合和对方）,,,3,4,A.对方的长相是否在我的审美点上,2,4,1,3
22,10-Mar-2026 21:34:32,10-Mar-2026 21:37:56,204,C.18-24,A.男性,A.未就业学生,A.理学/工学类,5,B.2,B.2,B.2,C.3,B.2,C.3,D.4,D.4,D.4,D.4,C.3,D.4,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,6,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,,,8,5,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,3,2,1,4
21,10-Mar-2026 20:54:56,10-Mar-2026 21:00:31,335,F.40-50,B.女性,E.教育/科研/学生,,5,B.2,A.1,A.1,C.3,B.2,B.2,D.4,C.3,C.3,C.3,B.2,C.3,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.独特的个人审美/审美认同,2,A.自律性（能否管理好自己的身材和形象）,,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,,,4,10,C.对方的表情（笑容、眼神）是否看起来好接近,2,1,4,3
20,10-Mar-2026 20:52:31,10-Mar-2026 20:53:41,70,A.1-12,B.女性,B.自由从业者,,10,C.3,A.1,B.2,B.2,A.1,A.1,C.3,A.1,B.2,A.1,A.1,A.1,C.候选人3,D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),D.独特的个人审美/审美认同,5,,B.经济实力（是否有足够的资源进行形象维护）,,,,,5,4,D.对方周围围着多少人（社交地位）,1,2,3,4
19,10-Mar-2026 20:46:29,10-Mar-2026 20:51:35,306,F.40-50,A.男性,G.行政/管理/后勤,,5,C.3,B.2,B.2,C.3,B.2,B.2,D.4,D.4,D.4,C.3,C.3,C.3,B.候选人2,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.极强的自律感,8,A.自律性（能否管理好自己的身材和形象）,,,,,,8,5,C.对方的表情（笑容、眼神）是否看起来好接近,2,4,3,1
18,10-Mar-2026 20:34:06,10-Mar-2026 20:44:14,608,C.18-24,A.男性,A.未就业学生,A.理学/工学类,6,D.4,D.4,D.4,C.3,C.3,D.4,C.3,C.3,B.2,C.3,B.2,B.2,B.候选人2,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.独特的个人审美/审美认同,8,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,,D.尊重感（是否重视社交场合和对方）,,,10,6,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,1,3,2,4
17,10-Mar-2026 20:39:41,10-Mar-2026 20:42:01,140,D.24-30,A.男性,C.互联网/技术/研发,,5,C.3,B.2,C.3,C.3,C.3,B.2,C.3,B.2,B.2,D.4,C.3,B.2,D.候选人4,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,7,A.自律性（能否管理好自己的身材和形象）,,,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,6,10,C.对方的表情（笑容、眼神）是否看起来好接近,2,4,1,3
16,10-Mar-2026 20:39:45,10-Mar-2026 20:41:33,108,G.>50,A.男性,G.行政/管理/后勤,,0,B.2,C.3,C.3,C.3,C.3,C.3,D.4,D.4,D.4,C.3,C.3,C.3,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.过人的天赋感,5,,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,5,5,D.对方周围围着多少人（社交地位）,3,1,2,4
15,10-Mar-2026 20:37:28,10-Mar-2026 20:39:56,148,B.12-18,B.女性,A.未就业学生,C.人文/社会科学类,8,D.4,B.2,C.3,C.3,A.1,C.3,C.3,B.2,C.3,D.4,A.1,D.4,D.候选人4,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.极强的自律感,8,A.自律性（能否管理好自己的身材和形象）,,,D.尊重感（是否重视社交场合和对方）,,,9,8,A.对方的长相是否在我的审美点上,3,1,2,4
14,10-Mar-2026 20:37:29,10-Mar-2026 20:39:13,104,C.18-24,A.男性,C.互联网/技术/研发,,3,A.1,A.1,C.3,A.1,A.1,B.2,A.1,A.1,A.1,C.3,D.4,E.5,D.候选人4,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),E.其他,6,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,,,E.逻辑感（着装是否符合身份与场合逻辑）,,9,4,C.对方的表情（笑容、眼神）是否看起来好接近,2,3,1,4
13,10-Mar-2026 20:35:11,10-Mar-2026 20:37:10,119,C.18-24,B.女性,A.未就业学生,C.人文/社会科学类,5,C.3,C.3,C.3,C.3,C.3,D.4,C.3,D.4,E.5,C.3,D.4,C.3,C.候选人3,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.独特的个人审美/审美认同,5,A.自律性（能否管理好自己的身材和形象）,,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,,,8,8,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,1,4,3,2
12,10-Mar-2026 20:34:00,10-Mar-2026 20:36:42,162,A.1-12,B.女性,A.未就业学生,A.理学/工学类,0,E.5,E.5,E.5,E.5,E.5,E.5,E.5,E.5,E.5,E.5,E.5,E.5,B.候选人2,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.独特的个人审美/审美认同,5,,,,,,F.不认为外貌能反映任何内在特质,0,0,A.对方的长相是否在我的审美点上,1,4,3,2
11,10-Mar-2026 20:31:45,10-Mar-2026 20:36:09,264,C.18-24,A.男性,A.未就业学生,G.其他,6,B.2,A.1,B.2,C.3,A.1,D.4,B.2,A.1,C.3,A.1,A.1,A.1,B.候选人2,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),E.其他,9,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,,,E.逻辑感（着装是否符合身份与场合逻辑）,,8,4,C.对方的表情（笑容、眼神）是否看起来好接近,1,4,2,3
10,10-Mar-2026 20:30:47,10-Mar-2026 20:34:32,225,C.18-24,A.男性,A.未就业学生,B.经济/管理/金融类,10,E.5,D.4,E.5,D.4,C.3,E.5,E.5,C.3,C.3,E.5,D.4,C.3,C.候选人3,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,7,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,10,10,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,2,3,1,4
9,10-Mar-2026 20:32:13,10-Mar-2026 20:33:44,91,C.18-24,B.女性,B.自由从业者,,8,C.3,B.2,B.2,C.3,A.1,C.3,B.2,A.1,D.4,B.2,B.2,B.2,A.候选人1,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),E.其他,2,,B.经济实力（是否有足够的资源进行形象维护）,,,E.逻辑感（着装是否符合身份与场合逻辑）,,4,3,D.对方周围围着多少人（社交地位）,3,1,2,4
8,10-Mar-2026 20:27:06,10-Mar-2026 20:30:06,180,C.18-24,A.男性,C.互联网/技术/研发,,6,C.3,B.2,D.4,B.2,A.1,B.2,C.3,D.4,C.3,C.3,C.3,E.5,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.踏实务实的气质,8,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,,,E.逻辑感（着装是否符合身份与场合逻辑）,,2,8,C.对方的表情（笑容、眼神）是否看起来好接近,2,3,1,4
7,10-Mar-2026 20:25:24,10-Mar-2026 20:26:56,92,C.18-24,A.男性,A.未就业学生,G.其他,8,C.3,A.1,C.3,A.1,B.2,D.4,B.2,C.3,A.1,B.2,B.2,B.2,C.候选人3,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.踏实务实的气质,2,A.自律性（能否管理好自己的身材和形象）,,C.审美力（是否具备良好的品味和眼界）,,E.逻辑感（着装是否符合身份与场合逻辑）,,5,3,A.对方的长相是否在我的审美点上,1,4,2,3
6,10-Mar-2026 20:21:46,10-Mar-2026 20:24:07,141,C.18-24,A.男性,A.未就业学生,B.经济/管理/金融类,6,D.4,C.3,C.3,C.3,C.3,B.2,C.3,C.3,C.3,D.4,C.3,C.3,D.候选人4,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.踏实务实的气质,7,A.自律性（能否管理好自己的身材和形象）,,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,6,5,C.对方的表情（笑容、眼神）是否看起来好接近,1,3,2,4
